time,x,y,yaw,vel_x,yaw_vel,evader_x,evader_y,evader_yaw
24.374212741851807,4.111285423111424,2.5320020695058494,1.1672357849536732,0.23,0.21169928885242784,3.778594097412188,3.2433862517423884,0.7366006765147004
24.374678373336792,4.111285423111424,2.5320020695058494,1.1672357849536732,0.23,0.21169928885242784,3.778594097412188,3.2433862517423884,0.7366006765147004
24.389812231063843,4.114298632554574,2.5392125189671737,1.1827103820775942,0.23,0.21169928885242784,3.778594097412188,3.2433862517423884,0.7366006765147004
24.41277503967285,4.117226284328494,2.5464512022472805,1.1892182748115332,0.23,0.21169928885242784,3.781112677870067,3.245670265932388,0.7366006748569176
24.413323879241943,4.117226284328494,2.5464512022472805,1.1892182748115332,0.23,0.21169928885242784,3.781112677870067,3.245670265932388,0.7366006748569176
24.44163227081299,4.117226284328494,2.5464512022472805,1.1892182748115332,0.23,0.07473175607562887,3.783631255776596,3.2479542769196197,0.7366006780011566
24.442054510116577,4.117226284328494,2.5464512022472805,1.1892182748115332,0.23,0.07473175607562887,3.783631255776596,3.2479542769196197,0.7366006780011566
24.473879098892212,4.120137003947157,2.553699998458413,1.188010500462552,0.23,0.07473175607562887,3.7861498399085103,3.250238295253059,0.7366006785676409
24.480080604553223,4.123065621539803,2.5609497765976563,1.1859821507147057,0.23,0.07473175607562887,3.7861498399085103,3.250238295253059,0.7366006785676409
24.50808095932007,4.123065621539803,2.5609497765976563,1.1859821507147057,0.23,-0.05339604759765737,3.788668436156517,3.252522324496372,0.7366006758539763
24.508856534957886,4.123065621539803,2.5609497765976563,1.1859821507147057,0.23,-0.05339604759765737,3.788668436156517,3.252522324496372,0.7366006758539763
24.514956951141357,4.1260002865537615,2.5681952012040328,1.186499521931716,0.23,-0.05339604759765737,3.788668436156517,3.252522324496372,0.7366006758539763
24.548523426055908,4.1289213517806465,2.5754498492191336,1.1895525442429922,0.23,-0.05339604759765737,3.79118704248981,3.254806362545344,0.7366006739308256
24.549083471298218,4.1289213517806465,2.5754498492191336,1.1895525442429922,0.23,-0.05339604759765737,3.79118704248981,3.254806362545344,0.7366006739308256
24.57583475112915,4.1289213517806465,2.5754498492191336,1.1895525442429922,0.23,0.058911493216730504,3.793705631074381,3.257090385122769,0.7366006749441179
24.582133054733276,4.1318251032422415,2.5827121568033125,1.1911310960511294,0.23,0.058911493216730504,3.793705631074381,3.257090385122769,0.7366006749441179
24.61636710166931,4.134726077832625,2.5899723471235028,1.1897445134760496,0.23,0.058911493216730504,3.7962242213684827,3.2593744088151078,0.7366006772671932
24.616860151290894,4.134726077832625,2.5899723471235028,1.1897445134760496,0.23,0.058911493216730504,3.7962242213684827,3.2593744088151078,0.7366006772671932
24.640923976898193,4.134726077832625,2.5899723471235028,1.1897445134760496,0.23,0.29114681892450855,3.7962242213684827,3.2593744088151078,0.7366006772671932
24.650843143463135,4.137638657800721,2.597227849073503,1.1883990540999474,0.23,0.29114681892450855,3.798742814145964,3.261658435550357,0.7366006817570795
24.65148425102234,4.137638657800721,2.597227849073503,1.1883990540999474,0.23,0.29114681892450855,3.798742814145964,3.261658435550357,0.7366006817570795
24.684678554534912,4.140545293027968,2.6044735556101335,1.1911319199892276,0.23,0.29114681892450855,3.801261387861969,3.263942445218042,0.7366006871278379
