time,x,y,yaw,vel_x,yaw_vel
9.733904361724854,7.286839445647296,-0.027431238792374912,-0.006215106805932015,0.5787733741840982,1.5467895603129115e-06
9.767264366149902,7.305361722053531,-0.02754669366381425,-0.006215696311562994,0.5447653077567707,3.217066981748912e-06
9.767698287963867,7.305361722053531,-0.02754669366381425,-0.006215696311562994,0.5447653077567707,3.217066981748912e-06
9.802052736282349,7.3227277446563805,-0.027654987569627233,-0.006215242951325745,0.5107572627035628,4.081573711881162e-05
9.802645444869995,7.3227277446563805,-0.027654987569627233,-0.006215242951325745,0.5107572627035628,4.081573711881162e-05
9.836382865905762,7.3389375164365,-0.027756097529940044,-0.006214285215806335,0.47674933306221867,2.9748237509258243e-05
9.837076187133789,7.3389375164365,-0.027756097529940044,-0.006214285215806335,0.47674933306221867,2.9748237509258243e-05
9.87037992477417,7.353991041578977,-0.027850021475204805,-0.006214047553560841,0.4427414117313967,1.0524257050220994e-05
9.87086796760559,7.353991041578977,-0.027850021475204805,-0.006214047553560841,0.4427414117313967,1.0524257050220994e-05
9.904543161392212,7.367888320470774,-0.02793676303419677,-0.006213930899867187,0.40873344257233624,2.136309204228329e-05
9.905091762542725,7.367888320470774,-0.02793676303419677,-0.006213930899867187,0.40873344257233624,2.136309204228329e-05
9.938302040100098,7.380629353422819,-0.02801631420118861,-0.006213396621769823,0.3747255197796554,2.9928344985453486e-05
9.9394211769104,7.380629353422819,-0.02801631420118861,-0.006213396621769823,0.3747255197796554,2.9928344985453486e-05
9.972350120544434,7.392214142663409,-0.02808866659578,-0.006212908500408858,0.34071769548966646,2.2476331025347134e-05
9.972843170166016,7.392214142663409,-0.02808866659578,-0.006212908500408858,0.34071769548966646,2.2476331025347134e-05
10.006706953048706,7.402642689970771,-0.028153817359587857,-0.006212645264515058,0.30670993986786294,2.0062190728029367e-05
10.007164239883423,7.402642689970771,-0.028153817359587857,-0.006212645264515058,0.30670993986786294,2.0062190728029367e-05
10.040518522262573,7.411914996311466,-0.028211762859884866,-0.006212302099059708,0.2727022323355201,2.4823178695105895e-05
10.040958166122437,7.411914996311466,-0.028211762859884866,-0.006212302099059708,0.2727022323355201,2.4823178695105895e-05
10.074822902679443,7.420031063164539,-0.02826249742056532,-0.006211859990009586,0.23869457845770084,2.4504150556454505e-05
10.075305938720703,7.420031063164539,-0.02826249742056532,-0.006211859990009586,0.23869457845770084,2.4504150556454505e-05
10.108727216720581,7.426990892333723,-0.028306016334755407,-0.006211499980142675,0.20468696659775823,2.1216523258048e-05
10.109239339828491,7.426990892333723,-0.028306016334755407,-0.006211499980142675,0.20468696659775823,2.1216523258048e-05
10.142818450927734,7.432794485190688,-0.02834231560281387,-0.006211191333372137,0.17067938038218494,2.1514994038017915e-05
10.143207311630249,7.432794485190688,-0.02834231560281387,-0.006211191333372137,0.17067938038218494,2.1514994038017915e-05
10.177052736282349,7.437441842939604,-0.02837139070480205,-0.006210842784356799,0.1366718231847375,2.2683601803270113e-05
10.17760705947876,7.437441842939604,-0.02837139070480205,-0.006210842784356799,0.1366718231847375,2.2683601803270113e-05
10.210536241531372,7.440932966991001,-0.02839323705920688,-0.006210495759422316,0.1026643018178429,2.176156946346496e-05
10.21108603477478,7.440932966991001,-0.02839323705920688,-0.006210495759422316,0.1026643018178429,2.176156946346496e-05
10.244471549987793,7.443267858730893,-0.028407850450974416,-0.006210191319175975,0.06865681433757913,2.099674936422502e-05
10.245076894760132,7.443267858730893,-0.028407850450974416,-0.006210191319175975,0.06865681433757913,2.099674936422502e-05
10.278753757476807,7.444446519382491,-0.028415226767493324,-0.006209895791629507,0.03464936238341337,2.1436684000950917e-05
10.279378890991211,7.444446519382491,-0.028415226767493324,-0.006209895791629507,0.03464936238341337,2.1436684000950917e-05
10.312747716903687,7.444670161136791,-0.028418269393371477,-0.00482886586001081,0.006451197447091586,0.0887400143729301
10.313299894332886,7.444670161136791,-0.028418269393371477,-0.00482886586001081,0.006451197447091586,0.0887400143729301
10.347158432006836,7.444681439847042,-0.0284255430481158,0.00046811456360512324,0.0002279087810131812,0.20617021543823888
10.347876071929932,7.444681439847042,-0.0284255430481158,0.00046811456360512324,0.0002279087810131812,0.20617021543823888
10.381800174713135,7.4446886638395355,-0.0284353301894613,0.007284043277448818,0.0002554914165267689,0.1716708274060152
10.382357358932495,7.4446886638395355,-0.0284353301894613,0.007284043277448818,0.0002554914165267689,0.1716708274060152
10.41555380821228,7.444698803850375,-0.02844204092077476,0.011850844918258384,0.0003241519240176804,0.11294126956353896
10.416013717651367,7.444698803850375,-0.02844204092077476,0.011850844918258384,0.0003241519240176804,0.11294126956353896
10.449655294418335,7.444708500644331,-0.028448528192029417,0.016124025152304447,0.00022973577733951208,0.14714250311174548
10.450078010559082,7.444708500644331,-0.028448528192029417,0.016124025152304447,0.00022973577733951208,0.14714250311174548
10.48368763923645,7.44471461925469,-0.028457387985778154,0.021734269035419824,0.00014717343430894637,0.17146391073652975
10.484278440475464,7.44471461925469,-0.028457387985778154,0.021734269035419824,0.00014717343430894637,0.17146391073652975
10.517066240310669,7.444719832300349,-0.028466206255829615,0.027172985867070926,0.00015803460449529522,0.1461348400370261
10.517563104629517,7.444719832300349,-0.028466206255829615,0.027172985867070926,0.00015803460449529522,0.1461348400370261
10.551819324493408,7.444725213484886,-0.028474043231535667,0.031905132791920546,0.00013867189518385897,0.13886944451312544
10.55259895324707,7.444725213484886,-0.028474043231535667,0.031905132791920546,0.00013867189518385897,0.13886944451312544
10.585425615310669,7.4447290119447445,-0.028482552843083583,0.036912350236183555,7.447609239207787e-05,0.15492121935615896
10.585906505584717,7.4447290119447445,-0.028482552843083583,0.036912350236183555,7.447609239207787e-05,0.15492121935615896
10.619584321975708,7.44473107217924,-0.028491837091248477,0.04224736315168171,3.853747063898676e-05,0.15495360750319498
10.620094060897827,7.44473107217924,-0.028491837091248477,0.04224736315168171,3.853747063898676e-05,0.15495360750319498
10.653658390045166,7.444732407252477,-0.028500877154597114,0.04734568468193823,2.062909289673053e-05,0.14593499164142534
10.654226064682007,7.444732407252477,-0.028500877154597114,0.04734568468193823,2.062909289673053e-05,0.14593499164142534
10.687345504760742,7.444732851019429,-0.028509857081567565,0.05231990223631961,-1.769984899660952e-05,0.14819035881762535
10.687828302383423,7.444732851019429,-0.028509857081567565,0.05231990223631961,-1.769984899660952e-05,0.14819035881762535
10.721890211105347,7.44473188400656,-0.0285193042809108,0.05745836800203442,-6.101440006951355e-05,0.15268332097797171
10.722857236862183,7.44473188400656,-0.0285193042809108,0.05745836800203442,-6.101440006951355e-05,0.15268332097797171
10.755426168441772,7.444729729032077,-0.028528958044270702,0.0626250329770781,-9.162099055978155e-05,0.15028261568785442
10.756101369857788,7.444729729032077,-0.028528958044270702,0.0626250329770781,-9.162099055978155e-05,0.15028261568785442
10.789478540420532,7.444726618663721,-0.02853856328104665,0.06769219504258324,-0.00012264488035210495,0.148363286039013
10.789967775344849,7.444726618663721,-0.02853856328104665,0.06769219504258324,-0.00012264488035210495,0.148363286039013
10.823676347732544,7.44587432564941,-0.028467535614715316,0.07282933887030145,0.033803609699138905,0.15407273367591443
10.824231147766113,7.44587432564941,-0.028467535614715316,0.07282933887030145,0.033803609699138905,0.15407273367591443
10.857983350753784,7.448171979954282,-0.028303979349593552,0.07812734094528999,0.06773775096956794,0.1557736881705051
10.858607769012451,7.448171979954282,-0.028303979349593552,0.07812734094528999,0.06773775096956794,0.1557736881705051
10.892816066741943,7.4516189634551955,-0.028035223168559116,0.08336382164640155,0.10168214525340834,0.1521296858634838
